matricule_camion;date_trans;kilometrage;type_camion;objectif_camion;capacite;heure_depart;jour_semaine;latitude;longitude;quantite_station;quantite_gps;conditions_meteo;weathercode_raw;type_trajet;city;zone;gouvernorat;delegation
8176 TU 236;2026-01-13T08:10:02.000Z;190;SURG;15;142.4242424;9;2;36.690838;10.508192;75.57;66.84;ensoleillé;0;route_secondaire;سليمان الجنوبية;ville;ولاية نابل;معتمدية سليمان
2155 TU 174;2026-01-13T07:59:17.000Z;283;NPR;16;443.1750831;8;2;35.771375;10.691790;44.84;49.23;ensoleillé;0;route_principale;صقانص;ville;ولاية المنستير;معتمدية المنستير
9616 TU 204;2026-01-13T07:37:48.000Z;236;NPR;16;162.372549;8;2;36.331157;9.140097;41.81;43.51;ensoleillé;0;inconnu;الكريب الجنوبية;ville;ولاية سليانة;معتمدية الكريب
4568 TU 169;2026-01-13T07:11:22.000Z;395;NPR;16;211.0556382;8;2;35.166467;8.842748;64.48;65.18;ensoleillé;0;inconnu;النور الغربي;ville;ولاية القصرين;معتمدية القصرين الشمالية
1181 TU 202;2026-01-13T05:44:59.000Z;415;NPR;16;274.155194;6;2;36.723463;10.171365;82.02;73.97;ensoleillé;0;route_secondaire;المغيرة;ville;ولاية بن عروس;معتمدية فوشانة
8572 TU 204;2026-01-13T05:23:54.000Z;337;NPR;16;211.0556382;6;2;35.567995;10.612223;52.90;18.71;ensoleillé;0;autoroute;الهدادرة;ville;ولاية المنستير;معتمدية جمّال
8012 TU 204;2026-01-13T05:07:22.000Z;490;NPR;16;219.1988347;6;2;36.407663;10.560738;76.57;74.79;ensoleillé;0;route_principale;منارة الحمامات;ville;ولاية نابل;معتمدية الحمامات
7903 TU 191;2026-01-13T04:40:28.000Z;705;IVC;27;46.93;5;2;36.601613;10.497047;201.51;195.13;ensoleillé;0;inconnu;قرمبالية;ville;ولاية نابل;معتمدية قرمبالية
4924 TU 199;2026-01-12T19:54:18.000Z;417;SURG;15;182.3903369;20;1;34.577418;9.841857;52.90;49.33;ensoleillé;0;route_secondaire;المزونة;ville;ولاية سيدي بوزيد;معتمدية المزونة
4963 TU 204;2026-01-12T19:28:12.000Z;472;TFR;10;59.93178233;20;1;36.579968;10.492597;25.19;30.62;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
4965 TU 204;2026-01-12T18:43:08.000Z;392;TFR;9;361.4550409;19;1;36.713145;10.167290;42.82;18.56;ensoleillé;0;route_secondaire;المغيرة;ville;ولاية بن عروس;معتمدية فوشانة
